Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/8/2025 14:59:14,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,No,No,Health care,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/8/2025 14:59:15,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,No,Entertainment,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Improve,Very negative,Yes
4/8/2025 14:59:16,35 - 44,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Business and finance,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Neutral,Yes
4/8/2025 14:59:16,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/8/2025 14:59:17,25 - 34,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,Notsure,Education,Improved healthcare,Privacy issues,"Yes, strict regulations",Worsen,Very negative,No
4/8/2025 14:59:18,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Yes,Education,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Neither,Very positive,No
4/8/2025 14:59:18,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Transportation,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)",Unsure,Neither,Somewhat negative,No
4/8/2025 14:59:19,45 - 54,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,No,Health care,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Improve,Very negative,No
4/8/2025 14:59:20,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Health care,More efficient work processes,Privacy issues,Unsure,Neither,Somewhat positive,Yes
4/8/2025 14:59:21,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,Yes,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Very positive,Yes
4/8/2025 14:59:22,45 - 54,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,No,Entertainment,More efficient work processes,Privacy issues,Unsure,Improve,Somewhat positive,Yes
4/8/2025 14:59:22,55 -64,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,No,Transportation,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Very positive,Yes
4/8/2025 14:59:23,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Neutral,No,Yes,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Very negative,Yes
4/8/2025 14:59:24,25 - 34,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,Yes,Health care,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/8/2025 14:59:25,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,No,Notsure,Health care,Better education and learning opportunities,Job loss and unemployment,Unsure,Worsen,Neutral,Yes
4/8/2025 14:59:25,35 - 44,Very familiar,No,Online shopping recommendations,Somewhat trust,Not sure,Yes,Transportation,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Neither,Somewhat negative,No
4/8/2025 14:59:26,25 - 34,Somewhat familiar,No,Online shopping recommendations,Completely distrust,Yes,No,Education,More efficient work processes,AI becoming too autonomous,Unsure,Neither,Somewhat negative,No
4/8/2025 14:59:27,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Very positive,Yes
4/8/2025 14:59:27,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,Yes,Entertainment,Improved healthcare,Privacy issues,"No, AI should be developed freely",Neither,Very positive,Yes
4/8/2025 14:59:28,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Very negative,Yes
4/8/2025 14:59:28,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,No,Notsure,Transportation,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/8/2025 14:59:29,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Not sure,Notsure,Entertainment,Increased convenience,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Somewhat negative,Yes
4/8/2025 14:59:30,18 - 24,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,No,Notsure,Entertainment,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Worsen,Very negative,No
4/8/2025 14:59:31,55 -64,Not familiar at all,Yes,Online shopping recommendations,Completely trust,Yes,No,Entertainment,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/8/2025 14:59:31,45 - 54,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Transportation,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Neither,Neutral,Yes
4/8/2025 14:59:32,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Health care,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/8/2025 14:59:33,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/8/2025 14:59:33,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Entertainment,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/8/2025 14:59:34,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat positive,No
4/8/2025 14:59:35,45 - 54,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Not sure,No,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/8/2025 14:59:36,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Yes,Business and finance,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Neither,Somewhat negative,No
4/8/2025 14:59:37,45 - 54,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Neither,Very positive,Yes
4/8/2025 14:59:37,45 - 54,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,No,No,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Neutral,No
4/8/2025 14:59:38,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Completely trust,Not sure,No,Education,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Somewhat positive,Yes
4/8/2025 14:59:39,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Completely distrust,Yes,No,Transportation,Improved healthcare,Privacy issues,"Yes, strict regulations",Unsure,Very negative,No
4/8/2025 14:59:39,45 - 54,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/8/2025 14:59:40,45 - 54,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Transportation,Improved healthcare,Privacy issues,"No, AI should be developed freely",Neither,Very negative,Yes
4/8/2025 14:59:40,45 - 54,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,No,Entertainment,Improved healthcare,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/8/2025 14:59:41,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Education,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Neutral,Yes
4/8/2025 14:59:42,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,No,Education,Improved healthcare,Privacy issues,Unsure,Neither,Somewhat negative,Yes
4/8/2025 14:59:42,35 - 44,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Transportation,Better education and learning opportunities,Job loss and unemployment,Unsure,Worsen,Very positive,Yes
4/8/2025 14:59:43,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Neutral,Not sure,Notsure,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat positive,Yes
4/8/2025 14:59:44,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Not sure,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Neutral,No
4/8/2025 14:59:44,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Completely trust,No,Yes,Transportation,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Very positive,No
4/8/2025 14:59:45,18 - 24,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,No,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Very positive,Yes
4/8/2025 14:59:46,35 - 44,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Neutral,Yes
4/8/2025 14:59:46,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Completely trust,Not sure,No,Education,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Somewhat negative,No
4/8/2025 14:59:47,35 - 44,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Not sure,No,Health care,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Worsen,Somewhat negative,Yes
4/8/2025 14:59:47,55 -64,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,No,Entertainment,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Worsen,Neutral,Yes
4/8/2025 14:59:48,25 - 34,Very familiar,Yes,Online shopping recommendations,Somewhat trust,Yes,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Neutral,No
4/8/2025 14:59:49,25 - 34,Somewhat familiar,No,Online shopping recommendations,Neutral,Not sure,Yes,Transportation,Increased convenience,Job loss and unemployment,"No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/8/2025 14:59:49,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Transportation,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,No
4/8/2025 14:59:50,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Yes,No,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat positive,Yes
4/8/2025 14:59:50,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,No
4/8/2025 14:59:51,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,No,Education,Improved healthcare,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Somewhat negative,Yes
4/8/2025 14:59:52,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,Notsure,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,No
4/8/2025 14:59:53,35 - 44,Not familiar at all,Yes,Online shopping recommendations,Somewhat trust,Yes,Notsure,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
4/8/2025 14:59:53,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,Notsure,Business and finance,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Very positive,No
4/8/2025 14:59:54,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Neutral,No,Notsure,Health care,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Neutral,No
4/8/2025 14:59:55,Under 18,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Transportation,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Worsen,Very positive,No
4/8/2025 14:59:56,45 - 54,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Entertainment,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat negative,No
4/8/2025 14:59:57,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Completely distrust,Not sure,Notsure,Education,More efficient work processes,Privacy issues,"Yes, strict regulations",Unsure,Very positive,No
4/8/2025 14:59:57,45 - 54,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Entertainment,Improved healthcare,Privacy issues,"No, AI should be developed freely",Neither,Very negative,No
4/8/2025 14:59:58,35 - 44,Very familiar,No,Online shopping recommendations,Neutral,No,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Neutral,Yes
4/8/2025 14:59:58,35 - 44,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Transportation,Greater accessibility for people with disabilities,Privacy issues,"No, AI should be developed freely",Unsure,Very negative,No
4/8/2025 14:59:59,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Education,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Unsure,Neutral,No
4/8/2025 14:59:59,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Entertainment,Greater accessibility for people with disabilities,Privacy issues,"No, AI should be developed freely",Worsen,Very negative,Yes
4/8/2025 15:00:00,55 -64,Not familiar at all,No,Online shopping recommendations,Somewhat distrust,Not sure,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Neutral,Yes
4/8/2025 15:00:01,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,No,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,Yes
4/8/2025 15:00:01,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,Notsure,Education,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,Yes
4/8/2025 15:00:02,18 - 24,Not familiar at all,No,Online shopping recommendations,Somewhat distrust,No,No,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat negative,No
4/8/2025 15:00:03,25 - 34,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,Not sure,No,Transportation,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/8/2025 15:00:03,55 -64,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,Notsure,Entertainment,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Improve,Very positive,No
4/8/2025 15:00:04,35 - 44,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Health care,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Very positive,Yes
4/8/2025 15:00:04,18 - 24,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,Yes
4/8/2025 15:00:05,35 - 44,Not familiar at all,Yes,Online shopping recommendations,Completely trust,No,Yes,Transportation,More efficient work processes,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,No
4/8/2025 15:00:06,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Notsure,Transportation,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Neither,Somewhat positive,Yes
4/8/2025 15:00:07,25 - 34,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,Notsure,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,Yes
4/8/2025 15:00:07,45 - 54,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very positive,Yes
4/8/2025 15:00:08,45 - 54,Somewhat familiar,No,Online shopping recommendations,Neutral,Not sure,Yes,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,Yes
4/8/2025 15:00:09,55 -64,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,Notsure,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat negative,Yes
4/8/2025 15:00:09,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,No,Health care,More efficient work processes,AI becoming too autonomous,Unsure,Worsen,Very negative,No
4/8/2025 15:00:10,Under 18,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Business and finance,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Very positive,No
4/8/2025 15:00:11,45 - 54,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,No,Notsure,Education,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat positive,No
4/8/2025 15:00:11,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very negative,Yes
4/8/2025 15:00:12,Under 18,Very familiar,No,"Email filtering (e.g., spam detection)",Neutral,Not sure,Notsure,Health care,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat positive,No
4/8/2025 15:00:13,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Health care,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/8/2025 15:00:14,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Health care,Increased convenience,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat positive,Yes
4/8/2025 15:00:14,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,No,Entertainment,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat negative,No
4/8/2025 15:00:15,35 - 44,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Yes,Yes,Entertainment,Increased convenience,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Very negative,Yes
4/8/2025 15:00:16,Under 18,Very familiar,Yes,Online shopping recommendations,Somewhat distrust,Yes,Notsure,Business and finance,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very positive,No
4/8/2025 15:00:17,18 - 24,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,No,Business and finance,Improved healthcare,Privacy issues,Unsure,Unsure,Somewhat positive,Yes
4/8/2025 15:00:17,55 -64,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,Notsure,Transportation,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Neutral,Yes
4/8/2025 15:00:18,35 - 44,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,Notsure,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat positive,No
4/8/2025 15:00:19,55 -64,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Transportation,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,No
4/8/2025 15:00:19,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat positive,Yes
4/8/2025 15:00:20,25 - 34,Not familiar at all,No,Online shopping recommendations,Somewhat distrust,No,No,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Neutral,No
4/8/2025 15:00:21,18 - 24,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Entertainment,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Neutral,Yes
4/8/2025 15:00:21,35 - 44,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,No,Yes,Education,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Neutral,No
4/8/2025 15:00:22,45 - 54,Very familiar,No,"Email filtering (e.g., spam detection)",Completely distrust,Yes,Yes,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat positive,No
4/8/2025 15:00:23,35 - 44,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,No,Education,Increased convenience,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,No
4/8/2025 15:00:24,45 - 54,Very familiar,No,Online shopping recommendations,Completely trust,Not sure,No,Entertainment,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/8/2025 15:00:25,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,Yes,Education,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Very positive,Yes
4/8/2025 15:00:26,55 -64,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,Notsure,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/8/2025 15:00:26,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,Not sure,No,Transportation,Increased convenience,"Security risks (e.g., AI hacking)",Unsure,Unsure,Somewhat negative,Yes
4/8/2025 15:00:27,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Entertainment,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Worsen,Very negative,No
4/8/2025 15:00:28,55 -64,Very familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Worsen,Very negative,Yes
4/8/2025 15:00:29,18 - 24,Somewhat familiar,No,Online shopping recommendations,Completely trust,Not sure,Notsure,Transportation,More efficient work processes,AI becoming too autonomous,Unsure,Neither,Somewhat positive,Yes
4/8/2025 15:00:29,Under 18,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)",Unsure,Neither,Neutral,No
4/8/2025 15:00:30,25 - 34,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,Yes,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/8/2025 15:00:31,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Health care,Greater accessibility for people with disabilities,Privacy issues,Unsure,Worsen,Neutral,Yes
4/8/2025 15:00:32,35 - 44,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Very positive,Yes
4/8/2025 15:00:32,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,No
4/8/2025 15:00:33,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Notsure,Transportation,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,Yes
4/8/2025 15:00:34,25 - 34,Very familiar,Yes,Online shopping recommendations,Somewhat trust,No,No,Transportation,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/8/2025 15:00:35,25 - 34,Somewhat familiar,No,Online shopping recommendations,Completely distrust,Not sure,No,Education,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat negative,No
4/8/2025 15:00:35,55 -64,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,Not sure,No,Transportation,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Neutral,Yes
4/8/2025 15:00:36,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat negative,Yes
4/8/2025 15:00:37,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,Yes,Entertainment,Increased convenience,Job loss and unemployment,Unsure,Neither,Neutral,No
